nome,descricao,preco,quantidade_inicial
Filtro do Motor,Filtro de óleo lubrificante do motor a combustão,47.00,45
Plaqueta de Freio Dianteira,Plaquetas de freio a disco para eixo dianteiro,195.00,28
Correia de Distribuição,Correia dentada sincronizadora da árvore de cames,102.00,22
Amortecedor Frontal Esquerdo,Suspensão amortecedora dianteira lado motorista,315.00,14
Vela de Motor,Vela de ignição para motor ciclo Otto,24.00,90
Bomba de Água do Motor,Bomba centrífuga de arrefecimento do propulsor,215.00,18
Rolamento de Cubo Traseiro,Rolamento de esfera para manga de eixo traseiro,150.00,16
Kit de Embreagem,Conjunto completo de embreagem com disco e platô,660.00,9
Bateria Automotiva 60A,Bateria de chumbo-ácido 60Ah para veículo leve,375.00,11
Radiador de Motor,Trocador de calor para sistema de arrefecimento,500.00,7
