nome,descricao,preco,quantidade_inicial
Filtro de Lubrificante,Filtro spin-on para óleo lubrificante do propulsor,46.00,48
Lona de Freio Dianteiro,Pastilha de material friccional para freio dianteiro,192.00,29
Correia Sincronizadora,Correia dentada para sincronismo de comando e virabrequim,100.00,24
Amortecedor Esquerdo Dianteiro,Amortecedor telescópico dianteiro lado esquerdo,318.00,15
Vela de Iridium,Vela de ignição de iridium de alta performance,28.00,80
Bomba de Refrigeração,Bomba centrífuga para circulação do fluido refrigerante,212.00,19
Cubo de Roda Traseiro,Conjunto de rolamento e cubo para roda traseira,148.00,17
Embreagem Completa Veicular,Kit de embreagem completo para veículos de passeio,655.00,10
Bateria 60 Ampères,Bateria automotiva chumbo-ácido 60Ah 12 volts,378.00,12
Radiador de Alumínio,Radiador para arrefecimento com núcleo de alumínio,495.00,8
