nome,descricao,preco,quantidade_inicial
Filtro de Óleo,Filtro para retenção de impurezas no óleo do motor,45.90,50
Pastilha de Freio Dianteira,Conjunto de pastilhas para freio a disco dianteiro,189.90,30
Correia Dentada,Correia de distribuição do motor 1.0/1.4,98.50,25
Amortecedor Dianteiro Esquerdo,Amortecedor hidráulico para suspensão dianteira esquerda,320.00,15
Vela de Ignição,Vela de ignição NGK para motores flex,22.00,100
Bomba d'Água,Bomba de circulação do líquido de arrefecimento,210.00,20
Rolamento de Roda Traseira,Rolamento com cubo para roda traseira,145.00,18
Embreagem Completa,Kit de embreagem com disco platô e rolamento,650.00,10
Bateria 60Ah,Bateria automotiva 60Ah 12V com carga,380.00,12
Radiador,Radiador de alumínio para arrefecimento do motor,490.00,8
