nome,descricao,preco,quantidade_inicial
Filtro de Óleo Motor,Filtro de óleo lubrificante rosqueável para motor,43.90,60
Disco de Freio Pastilha,Pastilhas para freio a disco dianteiro par,188.00,35
Correia de Distribuição Motor,Correia dentada do mecanismo de distribuição,99.00,23
Amortecedor Dianteiro Lado Esq,Amortecedor a gás para suspensão dianteira esquerda,322.00,14
Vela de Faísca,Vela de ignição para câmara de combustão do motor,23.00,95
Bomba de Água Veicular,Bomba hidráulica de arrefecimento do motor,213.00,21
Rolamento Traseiro de Roda,Rolamento vedado para roda do eixo traseiro,146.00,19
Kit Embreagem Completo,Embreagem disco platô e rolamento liberador,645.00,10
Bateria de Carro 60Ah,Bateria automotiva 60Ah selada livre de manutenção,382.00,11
Radiador Veicular,Radiador automotivo para sistema de refrigeração,492.00,8
